Name,Address,City,Category
Masala Library,Fifc Building,Mumbai,Indian Restaurant
Naaz Hotel,"Kantharia Mahal, Ground Floor, Lbs Road",Mumbai,Indian Restaurant
Smoke House Deli (Bkc),Fifc Building,Mumbai,Deli
Ivy Banquet,"Amar Mahal, Ghatkopar East, Mg Road",Mumbai,Restaurant
Tresind,"Ground Floor, Inspire Bkc, G Block",Mumbai,Restaurant
The Royal Orchid,"83/A, N G Acharya Marg, Chembur East",Mumbai,Hotel
212 All Day Cafe And Bar,"F-97, Phoenix Marketcity Mall, Lbs Road, Kurla West",Mumbai,Restaurant
Sadguru Juice And Snacks,"1 Janata Market, N G Acharya Road",Mumbai,Indian Restaurant
Yauatcha,"Raheja Tower, G Block Bkc, Bandra Kurla Complex, Bandra East",Mumbai,Lounge
Botticino - Trident Hotel,"Bandra Kurla Complex, Bandra East",Mumbai,Italian Restaurant
Sodabottleopenerwala,The Capital,Mumbai,Irani Cafe
O Pedro,"Plot No C68, Jet Airways Godrej Bkc, Bandra Kurla Complex",Mumbai,Restaurant
Le Cafe,"Hotel Jewel Of Chembur, 1st Road",Mumbai,Café
Pavilion,Mca Club,Mumbai,Indian Restaurant
Cincin,"Raheja Towers, Ground Floor, Block G, Bandra Kurla Complex, Bandra East",Mumbai,Restaurant
Wok Express,"Shop 1, Plot C5, Ground Floor, Urban Plaza, Gn Block, Bandra Kurla Complex",Mumbai,Asian Restaurant
Udaya Lunch Home,"Shrama Safalya Building, Station Road, N G Acharya Marg, Chembur East",Mumbai,Vegan And Vegetarian Restaurant
Mani'S Lunch Home'S Satvika,Vikrant Circle,Mumbai,Indian Restaurant
Lamba Da Dhaba,"V N Purav Marg, Chembur",Mumbai,Punjabi Restaurant
J W Cafe,Jw Marriott,Mumbai,Restaurant
Meghdoot Hotel,4 Opposite Railway Station,Mumbai,Indian Restaurant
Glass House,"Sahar Airport Road, Grand Hyatt Regency Mumbai, Andheri East",Mumbai,Restaurant
Fifty Five East,"Grand Hyatt Hotel, Lobby Level | Off Western Express Highway, Santacruz East",Mumbai,Sushi Restaurant
Guru Kripa Medical,Sion West,Mumbai,Bakery
Pan Asian,"Itc Maratha Mumbai, Sahar Road, Andheri East",Mumbai,Restaurant
5 Spice,"Andheri-Kurla Road, Sakinaka, Andheri East",Mumbai,Chinese Restaurant
Pizzaexpress,"Ground Floor, Times Square Building, Mittal Estate, Andheri Kurla Road, Sakinaka, Andheri East",Mumbai,Pizzeria
Abhinandan Dining Bar,L B S Road,Mumbai,Diner
Global Fusion,"Ground Floor, Times Square",Mumbai,Restaurant
Baluchi,The Lalit,Mumbai,Indian Restaurant
Sandwizzaa,Arun Bazar,Mumbai,Restaurant
Citrus Café,The Leela Kempinski,Mumbai,Bar
Urban Tadka,"T7, R City Mall, Lbs Road, Amrut Nagar, Ghatkopar West",Mumbai,Indian Restaurant
Mehman Nawazi,"A Wing, Supreme Business Park, Hiranandi Gardens, Powai",Mumbai,Indian Restaurant
Spirit Kitchen And Bar,"Mathuradas Vasanji Road, Midc Industrial Estate, And",Mumbai,Indian Restaurant
Gajalee,Hanuman Road,Mumbai,Seafood Restaurant
Bastian,Neelkamal,Mumbai,Seafood Restaurant
Theobroma,"29/30, Link Square Mall, 33 Road, Linking Road, Bandra West",Mumbai,Bakery
Banana Leaf,R City Mall,,Vegan And Vegetarian Restaurant
One Street Over,"Ground Floor, 35th Street, Off Of Linking Road, Khar West, Linking Road, Bandra West",Mumbai,Restaurant
Zaffran,R City Mall,Mumbai,Afghan Restaurant
Hakkasan,"206 Krystal Building, Waterfield Road, Bandra West",Mumbai,Indian Restaurant
Smoke House Deli,"Madhumilan Building, 33rd Road, Ambedkar Road, Pali Hill, Bandra West",Mumbai,Restaurant
Pali Thai,"10 Pali Mala Road, Adarsh Nagar, Pali Hill, Bandra West",Mumbai,Asian Restaurant
Indigo Delicatessen,"8 Fatima Villa, 29th Road, Pali Naka, Pali Hill, Bandra West",Mumbai,Indian Restaurant
Global Fusion,"Link Square Mall, Above Croma, Linking Road, Bandra West",Mumbai,Buffet
The Fatty Bao,"Ground Floor, Summer Ville, Junction Of 14th And 33rd Road, Linking Road, Bandra West",Mumbai,Asian Restaurant
Persian Darbar Restaurant,"Moray Mahal, Linking Road, Bandra West",Mumbai,Indian Restaurant
Ram Ashraya Restaurant,"Bhandarkar Road, Kings Circle, Matunga East",Mumbai,Restaurant
Mi Marathi,"5 Alpha Apartment, Shree Parleshwar Road, Vile Parle East",Mumbai,Indian Restaurant
